GPROF,OPTIMIZE,DEVEL_MODE,STATS,dataset,training_inputs_count,runtime,
yes,-O3,yes,PE,mnist,200,0.0035851001739501953,
yes,-O3,yes,PE,emnist,150,0.007215976715087891,
yes,-O3,yes,PE,cifar10,100,0.0072400569915771484,
yes,-O3,yes,PE,cifar100,5,0.014040946960449219,
