GPROF,OPTIMIZE,DEVEL_MODE,STATS,dataset,training_inputs_count,runtime,
no,-O0,yes,INST_MIX,mnist,200,0.2827010154724121,
no,-O0,yes,INST_MIX,emnist,150,0.5606400966644287,
no,-O0,yes,INST_MIX,cifar10,100,0.44620394706726074,
no,-O0,yes,INST_MIX,cifar100,5,0.22906017303466797,
