GPROF,OPTIMIZE,DEVEL_MODE,STATS,dataset,training_inputs_count,runtime,
yes,-O3,yes,INST_MIX,mnist,200,0.005589962005615234,
yes,-O3,yes,INST_MIX,emnist,150,0.01399993896484375,
yes,-O3,yes,INST_MIX,cifar10,100,0.013031959533691406,
yes,-O3,yes,INST_MIX,cifar100,5,0.02467799186706543,
